Mortgage Amortization Table,,,,,,,,
192,"$104,050.05",$433.54,$858.91,$0.00,"$103,624.68",$425.37,"$56,375.32","$96,375.32"
193,"$103,624.68",$431.77,$858.91,$0.00,"$103,197.53",$427.15,"$56,802.47","$96,802.47"
194,"$103,197.53",$429.99,$858.91,$0.00,"$102,768.61",$428.92,"$57,231.39","$97,231.39"
195,"$102,768.61",$428.20,$858.91,$0.00,"$102,337.89",$430.71,"$57,662.11","$97,662.11"
196,"$102,337.89",$426.41,$858.91,$0.00,"$101,905.39",$432.51,"$58,094.61","$98,094.61"
197,"$101,905.39",$424.61,$858.91,$0.00,"$101,471.08",$434.31,"$58,528.92","$98,528.92"
198,"$101,471.08",$422.80,$858.91,$0.00,"$101,034.96",$436.12,"$58,965.04","$98,965.04"
199,"$101,034.96",$420.98,$858.91,$0.00,"$100,597.03",$437.94,"$59,402.97","$99,402.97"
200,"$100,597.03",$419.15,$858.91,$0.00,"$100,157.27",$439.76,"$59,842.73","$99,842.73"
201,"$100,157.27",$417.32,$858.91,$0.00,"$99,715.67",$441.59,"$60,284.33","$100,284.33"
202,"$99,715.67",$415.48,$858.91,$0.00,"$99,272.24",$443.43,"$60,727.76","$100,727.76"
203,"$99,272.24",$413.63,$858.91,$0.00,"$98,826.96",$445.28,"$61,173.04","$101,173.04"
204,"$98,826.96",$411.78,$858.91,$0.00,"$98,379.82",$447.14,"$61,620.18","$101,620.18"
205,"$98,379.82",$409.92,$858.91,$0.00,"$97,930.83",$449.00,"$62,069.17","$102,069.17"
206,"$97,930.83",$408.05,$858.91,$0.00,"$97,479.96",$450.87,"$62,520.04","$102,520.04"
207,"$97,479.96",$406.17,$858.91,$0.00,"$97,027.21",$452.75,"$62,972.79","$102,972.79"
208,"$97,027.21",$404.28,$858.91,$0.00,"$96,572.57",$454.63,"$63,427.43","$103,427.43"
209,"$96,572.57",$402.39,$858.91,$0.00,"$96,116.04",$456.53,"$63,883.96","$103,883.96"
210,"$96,116.04",$400.48,$858.91,$0.00,"$95,657.61",$458.43,"$64,342.39","$104,342.39"
211,"$95,657.61",$398.57,$858.91,$0.00,"$95,197.27",$460.34,"$64,802.73","$104,802.73"
212,"$95,197.27",$396.66,$858.91,$0.00,"$94,735.01",$462.26,"$65,264.99","$105,264.99"
213,"$94,735.01",$394.73,$858.91,$0.00,"$94,270.83",$464.19,"$65,729.17","$105,729.17"
214,"$94,270.83",$392.80,$858.91,$0.00,"$93,804.71",$466.12,"$66,195.29","$106,195.29"
215,"$93,804.71",$390.85,$858.91,$0.00,"$93,336.65",$468.06,"$66,663.35","$106,663.35"
216,"$93,336.65",$388.90,$858.91,$0.00,"$92,866.63",$470.01,"$67,133.37","$107,133.37"
217,"$92,866.63",$386.94,$858.91,$0.00,"$92,394.66",$471.97,"$67,605.34","$107,605.34"
218,"$92,394.66",$384.98,$858.91,$0.00,"$91,920.73",$473.94,"$68,079.27","$108,079.27"
219,"$91,920.73",$383.00,$858.91,$0.00,"$91,444.82",$475.91,"$68,555.18","$108,555.18"
220,"$91,444.82",$381.02,$858.91,$0.00,"$90,966.92",$477.89,"$69,033.08","$109,033.08"
221,"$90,966.92",$379.03,$858.91,$0.00,"$90,487.04",$479.89,"$69,512.96","$109,512.96"
222,"$90,487.04",$377.03,$858.91,$0.00,"$90,005.15",$481.89,"$69,994.85","$109,994.85"
223,"$90,005.15",$375.02,$858.91,$0.00,"$89,521.26",$483.89,"$70,478.74","$110,478.74"
224,"$89,521.26",$373.01,$858.91,$0.00,"$89,035.35",$485.91,"$70,964.65","$110,964.65"
225,"$89,035.35",$370.98,$858.91,$0.00,"$88,547.41",$487.93,"$71,452.59","$111,452.59"
226,"$88,547.41",$368.95,$858.91,$0.00,"$88,057.45",$489.97,"$71,942.55","$111,942.55"
227,"$88,057.45",$366.91,$858.91,$0.00,"$87,565.44",$492.01,"$72,434.56","$112,434.56"
228,"$87,565.44",$364.86,$858.91,$0.00,"$87,071.38",$494.06,"$72,928.62","$112,928.62"
229,"$87,071.38",$362.80,$858.91,$0.00,"$86,575.26",$496.12,"$73,424.74","$113,424.74"
230,"$86,575.26",$360.73,$858.91,$0.00,"$86,077.08",$498.18,"$73,922.92","$113,922.92"
231,"$86,077.08",$358.65,$858.91,$0.00,"$85,576.82",$500.26,"$74,423.18","$114,423.18"
232,"$85,576.82",$356.57,$858.91,$0.00,"$85,074.47",$502.34,"$74,925.53","$114,925.53"
233,"$85,074.47",$354.48,$858.91,$0.00,"$84,570.04",$504.44,"$75,429.96","$115,429.96"
234,"$84,570.04",$352.38,$858.91,$0.00,"$84,063.50",$506.54,"$75,936.50","$115,936.50"
235,"$84,063.50",$350.26,$858.91,$0.00,"$83,554.85",$508.65,"$76,445.15","$116,445.15"
236,"$83,554.85",$348.15,$858.91,$0.00,"$83,044.08",$510.77,"$76,955.92","$116,955.92"
237,"$83,044.08",$346.02,$858.91,$0.00,"$82,531.18",$512.90,"$77,468.82","$117,468.82"
238,"$82,531.18",$343.88,$858.91,$0.00,"$82,016.14",$515.03,"$77,983.86","$117,983.86"
239,"$82,016.14",$341.73,$858.91,$0.00,"$81,498.96",$517.18,"$78,501.04","$118,501.04"
240,"$81,498.96",$339.58,$858.91,$0.00,"$80,979.63",$519.34,"$79,020.37","$119,020.37"
241,"$80,979.63",$337.42,$858.91,$0.00,"$80,458.13",$521.50,"$79,541.87","$119,541.87"
242,"$80,458.13",$335.24,$858.91,$0.00,"$79,934.46",$523.67,"$80,065.54","$120,065.54"
243,"$79,934.46",$333.06,$858.91,$0.00,"$79,408.60",$525.85,"$80,591.40","$120,591.40"
244,"$79,408.60",$330.87,$858.91,$0.00,"$78,880.56",$528.05,"$81,119.44","$121,119.44"
245,"$78,880.56",$328.67,$858.91,$0.00,"$78,350.31",$530.25,"$81,649.69","$121,649.69"
246,"$78,350.31",$326.46,$858.91,$0.00,"$77,817.86",$532.45,"$82,182.14","$122,182.14"
247,"$77,817.86",$324.24,$858.91,$0.00,"$77,283.18",$534.67,"$82,716.82","$122,716.82"
248,"$77,283.18",$322.01,$858.91,$0.00,"$76,746.28",$536.90,"$83,253.72","$123,253.72"
249,"$76,746.28",$319.78,$858.91,$0.00,"$76,207.14",$539.14,"$83,792.86","$123,792.86"
250,"$76,207.14",$317.53,$858.91,$0.00,"$75,665.76",$541.38,"$84,334.24","$124,334.24"
251,"$75,665.76",$315.27,$858.91,$0.00,"$75,122.12",$543.64,"$84,877.88","$124,877.88"
252,"$75,122.12",$313.01,$858.91,$0.00,"$74,576.21",$545.91,"$85,423.79","$125,423.79"
253,"$74,576.21",$310.73,$858.91,$0.00,"$74,028.03",$548.18,"$85,971.97","$125,971.97"
254,"$74,028.03",$308.45,$858.91,$0.00,"$73,477.57",$550.46,"$86,522.43","$126,522.43"
255,"$73,477.57",$306.16,$858.91,$0.00,"$72,924.81",$552.76,"$87,075.19","$127,075.19"
256,"$72,924.81",$303.85,$858.91,$0.00,"$72,369.75",$555.06,"$87,630.25","$127,630.25"
257,"$72,369.75",$301.54,$858.91,$0.00,"$71,812.37",$557.37,"$88,187.63","$128,187.63"
258,"$71,812.37",$299.22,$858.91,$0.00,"$71,252.68",$559.70,"$88,747.32","$128,747.32"
259,"$71,252.68",$296.89,$858.91,$0.00,"$70,690.65",$562.03,"$89,309.35","$129,309.35"
260,"$70,690.65",$294.54,$858.91,$0.00,"$70,126.28",$564.37,"$89,873.72","$129,873.72"
261,"$70,126.28",$292.19,$858.91,$0.00,"$69,559.56",$566.72,"$90,440.44","$130,440.44"
262,"$69,559.56",$289.83,$858.91,$0.00,"$68,990.47",$569.08,"$91,009.53","$131,009.53"
263,"$68,990.47",$287.46,$858.91,$0.00,"$68,419.02",$571.45,"$91,580.98","$131,580.98"
264,"$68,419.02",$285.08,$858.91,$0.00,"$67,845.18",$573.84,"$92,154.82","$132,154.82"
265,"$67,845.18",$282.69,$858.91,$0.00,"$67,268.96",$576.23,"$92,731.04","$132,731.04"
266,"$67,268.96",$280.29,$858.91,$0.00,"$66,690.33",$578.63,"$93,309.67","$133,309.67"
267,"$66,690.33",$277.88,$858.91,$0.00,"$66,109.29",$581.04,"$93,890.71","$133,890.71"
268,"$66,109.29",$275.46,$858.91,$0.00,"$65,525.83",$583.46,"$94,474.17","$134,474.17"
269,"$65,525.83",$273.02,$858.91,$0.00,"$64,939.94",$585.89,"$95,060.06","$135,060.06"
270,"$64,939.94",$270.58,$858.91,$0.00,"$64,351.61",$588.33,"$95,648.39","$135,648.39"
271,"$64,351.61",$268.13,$858.91,$0.00,"$63,760.83",$590.78,"$96,239.17","$136,239.17"
272,"$63,760.83",$265.67,$858.91,$0.00,"$63,167.58",$593.24,"$96,832.42","$136,832.42"
273,"$63,167.58",$263.20,$858.91,$0.00,"$62,571.87",$595.72,"$97,428.13","$137,428.13"
274,"$62,571.87",$260.72,$858.91,$0.00,"$61,973.67",$598.20,"$98,026.33","$138,026.33"
275,"$61,973.67",$258.22,$858.91,$0.00,"$61,372.98",$600.69,"$98,627.02","$138,627.02"
276,"$61,372.98",$255.72,$858.91,$0.00,"$60,769.78",$603.19,"$99,230.22","$139,230.22"
277,"$60,769.78",$253.21,$858.91,$0.00,"$60,164.08",$605.71,"$99,835.92","$139,835.92"
278,"$60,164.08",$250.68,$858.91,$0.00,"$59,555.85",$608.23,"$100,444.15","$140,444.15"
279,"$59,555.85",$248.15,$858.91,$0.00,"$58,945.08",$610.77,"$101,054.92","$141,054.92"
280,"$58,945.08",$245.60,$858.91,$0.00,"$58,331.77",$613.31,"$101,668.23","$141,668.23"
281,"$58,331.77",$243.05,$858.91,$0.00,"$57,715.90",$615.87,"$102,284.10","$142,284.10"
282,"$57,715.90",$240.48,$858.91,$0.00,"$57,097.47",$618.43,"$102,902.53","$142,902.53"
283,"$57,097.47",$237.91,$858.91,$0.00,"$56,476.46",$621.01,"$103,523.54","$143,523.54"
284,"$56,476.46",$235.32,$858.91,$0.00,"$55,852.87",$623.60,"$104,147.13","$144,147.13"
285,"$55,852.87",$232.72,$858.91,$0.00,"$55,226.67",$626.19,"$104,773.33","$144,773.33"
286,"$55,226.67",$230.11,$858.91,$0.00,"$54,597.87",$628.80,"$105,402.13","$145,402.13"
287,"$54,597.87",$227.49,$858.91,$0.00,"$53,966.45",$631.42,"$106,033.55","$146,033.55"
288,"$53,966.45",$224.86,$858.91,$0.00,"$53,332.39",$634.05,"$106,667.61","$146,667.61"
289,"$53,332.39",$222.22,$858.91,$0.00,"$52,695.70",$636.70,"$107,304.30","$147,304.30"
290,"$52,695.70",$219.57,$858.91,$0.00,"$52,056.35",$639.35,"$107,943.65","$147,943.65"
291,"$52,056.35",$216.90,$858.91,$0.00,"$51,414.33",$642.01,"$108,585.67","$148,585.67"
292,"$51,414.33",$214.23,$858.91,$0.00,"$50,769.65",$644.69,"$109,230.35","$149,230.35"
293,"$50,769.65",$211.54,$858.91,$0.00,"$50,122.27",$647.37,"$109,877.73","$149,877.73"
294,"$50,122.27",$208.84,$858.91,$0.00,"$49,472.20",$650.07,"$110,527.80","$150,527.80"
295,"$49,472.20",$206.13,$858.91,$0.00,"$48,819.42",$652.78,"$111,180.58","$151,180.58"
296,"$48,819.42",$203.41,$858.91,$0.00,"$48,163.92",$655.50,"$111,836.08","$151,836.08"
297,"$48,163.92",$200.68,$858.91,$0.00,"$47,505.69",$658.23,"$112,494.31","$152,494.31"
298,"$47,505.69",$197.94,$858.91,$0.00,"$46,844.71",$660.97,"$113,155.29","$153,155.29"
299,"$46,844.71",$195.19,$858.91,$0.00,"$46,180.98",$663.73,"$113,819.02","$153,819.02"
300,"$46,180.98",$192.42,$858.91,$0.00,"$45,514.49",$666.49,"$114,485.51","$154,485.51"
301,"$45,514.49",$189.64,$858.91,$0.00,"$44,845.22",$669.27,"$115,154.78","$155,154.78"
302,"$44,845.22",$186.86,$858.91,$0.00,"$44,173.16",$672.06,"$115,826.84","$155,826.84"
303,"$44,173.16",$184.05,$858.91,$0.00,"$43,498.30",$674.86,"$116,501.70","$156,501.70"
304,"$43,498.30",$181.24,$858.91,$0.00,"$42,820.63",$677.67,"$117,179.37","$157,179.37"
305,"$42,820.63",$178.42,$858.91,$0.00,"$42,140.13",$680.50,"$117,859.87","$157,859.87"
306,"$42,140.13",$175.58,$858.91,$0.00,"$41,456.80",$683.33,"$118,543.20","$158,543.20"
307,"$41,456.80",$172.74,$858.91,$0.00,"$40,770.63",$686.18,"$119,229.37","$159,229.37"
308,"$40,770.63",$169.88,$858.91,$0.00,"$40,081.59",$689.04,"$119,918.41","$159,918.41"
309,"$40,081.59",$167.01,$858.91,$0.00,"$39,389.68",$691.91,"$120,610.32","$160,610.32"
310,"$39,389.68",$164.12,$858.91,$0.00,"$38,694.89",$694.79,"$121,305.11","$161,305.11"
311,"$38,694.89",$161.23,$858.91,$0.00,"$37,997.20",$697.69,"$122,002.80","$162,002.80"
312,"$37,997.20",$158.32,$858.91,$0.00,"$37,296.61",$700.59,"$122,703.39","$162,703.39"
313,"$37,296.61",$155.40,$858.91,$0.00,"$36,593.10",$703.51,"$123,406.90","$163,406.90"
314,"$36,593.10",$152.47,$858.91,$0.00,"$35,886.66",$706.44,"$124,113.34","$164,113.34"
315,"$35,886.66",$149.53,$858.91,$0.00,"$35,177.27",$709.39,"$124,822.73","$164,822.73"
316,"$35,177.27",$146.57,$858.91,$0.00,"$34,464.93",$712.34,"$125,535.07","$165,535.07"
317,"$34,464.93",$143.60,$858.91,$0.00,"$33,749.62",$715.31,"$126,250.38","$166,250.38"
318,"$33,749.62",$140.62,$858.91,$0.00,"$33,031.32",$718.29,"$126,968.68","$166,968.68"
319,"$33,031.32",$137.63,$858.91,$0.00,"$32,310.04",$721.28,"$127,689.96","$167,689.96"
320,"$32,310.04",$134.63,$858.91,$0.00,"$31,585.75",$724.29,"$128,414.25","$168,414.25"
321,"$31,585.75",$131.61,$858.91,$0.00,"$30,858.44",$727.31,"$129,141.56","$169,141.56"
322,"$30,858.44",$128.58,$858.91,$0.00,"$30,128.11",$730.34,"$129,871.89","$169,871.89"
323,"$30,128.11",$125.53,$858.91,$0.00,"$29,394.72",$733.38,"$130,605.28","$170,605.28"
324,"$29,394.72",$122.48,$858.91,$0.00,"$28,658.29",$736.44,"$131,341.71","$171,341.71"
325,"$28,658.29",$119.41,$858.91,$0.00,"$27,918.78",$739.51,"$132,081.22","$172,081.22"
326,"$27,918.78",$116.33,$858.91,$0.00,"$27,176.20",$742.59,"$132,823.80","$172,823.80"
327,"$27,176.20",$113.23,$858.91,$0.00,"$26,430.52",$745.68,"$133,569.48","$173,569.48"
328,"$26,430.52",$110.13,$858.91,$0.00,"$25,681.73",$748.79,"$134,318.27","$174,318.27"
329,"$25,681.73",$107.01,$858.91,$0.00,"$24,929.82",$751.91,"$135,070.18","$175,070.18"
330,"$24,929.82",$103.87,$858.91,$0.00,"$24,174.78",$755.04,"$135,825.22","$175,825.22"
331,"$24,174.78",$100.73,$858.91,$0.00,"$23,416.59",$758.19,"$136,583.41","$176,583.41"
332,"$23,416.59",$97.57,$858.91,$0.00,"$22,655.25",$761.35,"$137,344.75","$177,344.75"
333,"$22,655.25",$94.40,$858.91,$0.00,"$21,890.73",$764.52,"$138,109.27","$178,109.27"
334,"$21,890.73",$91.21,$858.91,$0.00,"$21,123.03",$767.70,"$138,876.97","$178,876.97"
335,"$21,123.03",$88.01,$858.91,$0.00,"$20,352.13",$770.90,"$139,647.87","$179,647.87"
336,"$20,352.13",$84.80,$858.91,$0.00,"$19,578.01",$774.11,"$140,421.99","$180,421.99"
337,"$19,578.01",$81.58,$858.91,$0.00,"$18,800.67",$777.34,"$141,199.33","$181,199.33"
338,"$18,800.67",$78.34,$858.91,$0.00,"$18,020.09",$780.58,"$141,979.91","$181,979.91"
339,"$18,020.09",$75.08,$858.91,$0.00,"$17,236.26",$783.83,"$142,763.74","$182,763.74"
340,"$17,236.26",$71.82,$858.91,$0.00,"$16,449.17",$787.10,"$143,550.83","$183,550.83"
341,"$16,449.17",$68.54,$858.91,$0.00,"$15,658.79",$790.38,"$144,341.21","$184,341.21"
342,"$15,658.79",$65.24,$858.91,$0.00,"$14,865.12",$793.67,"$145,134.88","$185,134.88"
343,"$14,865.12",$61.94,$858.91,$0.00,"$14,068.14",$796.98,"$145,931.86","$185,931.86"
344,"$14,068.14",$58.62,$858.91,$0.00,"$13,267.85",$800.30,"$146,732.15","$186,732.15"
345,"$13,267.85",$55.28,$858.91,$0.00,"$12,464.21",$803.63,"$147,535.79","$187,535.79"
346,"$12,464.21",$51.93,$858.91,$0.00,"$11,657.23",$806.98,"$148,342.77","$188,342.77"
347,"$11,657.23",$48.57,$858.91,$0.00,"$10,846.89",$810.34,"$149,153.11","$189,153.11"
348,"$10,846.89",$45.20,$858.91,$0.00,"$10,033.17",$813.72,"$149,966.83","$189,966.83"
349,"$10,033.17",$41.80,$858.91,$0.00,"$9,216.06",$817.11,"$150,783.94","$190,783.94"
350,"$9,216.06",$38.40,$858.91,$0.00,"$8,395.55",$820.51,"$151,604.45","$191,604.45"
351,"$8,395.55",$34.98,$858.91,$0.00,"$7,571.61",$823.93,"$152,428.39","$192,428.39"
352,"$7,571.61",$31.55,$858.91,$0.00,"$6,744.25",$827.37,"$153,255.75","$193,255.75"
353,"$6,744.25",$28.10,$858.91,$0.00,"$5,913.44",$830.81,"$154,086.56","$194,086.56"
354,"$5,913.44",$24.64,$858.91,$0.00,"$5,079.16",$834.28,"$154,920.84","$194,920.84"
355,"$5,079.16",$21.16,$858.91,$0.00,"$4,241.41",$837.75,"$155,758.59","$195,758.59"
356,"$4,241.41",$17.67,$858.91,$0.00,"$3,400.17",$841.24,"$156,599.83","$196,599.83"
357,"$3,400.17",$14.17,$858.91,$0.00,"$2,555.42",$844.75,"$157,444.58","$197,444.58"
358,"$2,555.42",$10.65,$858.91,$0.00,"$1,707.15",$848.27,"$158,292.85","$198,292.85"
359,"$1,707.15",$7.11,$858.91,$0.00,$855.35,$851.80,"$159,144.65","$199,144.65"
360,$855.35,$3.56,$858.91,$0.00,$0.00,$855.35,"$160,000.00","$200,000.00"
361,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
362,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
363,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
364,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
365,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
366,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
367,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
368,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
369,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
370,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
371,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
372,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
373,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
374,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
375,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
376,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
377,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
378,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
379,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
380,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
381,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
382,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
383,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
384,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
385,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
386,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
387,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
388,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
389,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
390,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
391,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
392,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
393,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
394,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
395,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
396,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
397,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
398,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
399,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"
400,$0.00,$0.00,$0.00,0,$0.00,$0.00,"$160,000.00","$200,000.00"